pl_name,hostname,hip_name,sy_pnum
"Kepler-6 b","Kepler-6",,1
"Kepler-491 b","Kepler-491",,1
"Kepler-257 b","Kepler-257",,3
"Kepler-216 b","Kepler-216",,2
"Kepler-32 c","Kepler-32",,5
"Kepler-259 c","Kepler-259",,2
"Kepler-148 c","Kepler-148",,3
"Kepler-222 d","Kepler-222",,3
"Kepler-29 c","Kepler-29",,2
"Kepler-179 b","Kepler-179",,2
"Kepler-165 c","Kepler-165",,2
"Kepler-228 c","Kepler-228",,3
"Kepler-20 c","Kepler-20",,6
"Kepler-166 d","Kepler-166",,3
"Kepler-52 b","Kepler-52",,3
"Kepler-197 d","Kepler-197",,4
"K2-183 d","K2-183",,3
"K2-187 e","K2-187",,4
"K2-187 c","K2-187",,4
"K2-270 b","K2-270",,2
"Kepler-184 d","Kepler-184",,3
"Kepler-257 d","Kepler-257",,3
"K2-280 b","K2-280",,1
"K2-381 c","K2-381",,3
"Kepler-222 c","Kepler-222",,3
"HATS-36 b","HATS-36",,1
"Kepler-229 b","Kepler-229",,3
"K2-222 b","K2-222",,1
"K2-214 b","K2-214",,1
"K2-220 b","K2-220",,1
"K2-216 b","K2-216",,1
"K2-212 b","K2-212",,1
"Kepler-166 c","Kepler-166",,3
"K2-151 b","K2-151",,1
"K2-295 b","K2-295",,1
"K2-282 b","K2-282",,2
"K2-283 b","K2-283",,1
"K2-281 b","K2-281",,1
"K2-387 b","K2-387",,1
"Kepler-197 b","Kepler-197",,4
"K2-156 b","K2-156",,1
"K2-157 b","K2-157",,3
"K2-158 b","K2-158",,2
"K2-244 b","K2-244",,1
"Kepler-108 c","Kepler-108",,2
"K2-159 b","K2-159",,1
"K2-160 b","K2-160",,1
"K2-161 b","K2-161",,1
"K2-162 b","K2-162",,1
"K2-163 b","K2-163",,1
"K2-165 b","K2-165",,3
"K2-165 c","K2-165",,3
"K2-165 d","K2-165",,3
"Kepler-477 b","Kepler-477",,1
"Kepler-108 b","Kepler-108",,2
"EPIC 201595106 b","EPIC 201595106",,2
"K2-166 b","K2-166",,2
"K2-175 b","K2-175",,1
"K2-176 b","K2-176",,1
"K2-177 b","K2-177",,1
"K2-178 b","K2-178",,1
"Kepler-9 d","Kepler-9",,3
"K2-183 b","K2-183",,3
"K2-185 b","K2-185",,2
"K2-185 c","K2-185",,2
"K2-263 b","K2-263",,1
"K2-186 b","K2-186",,1
"K2-341 b","K2-341",,1
"K2-187 b","K2-187",,4
"K2-188 b","K2-188",,2
"K2-189 b","K2-189",,2
"K2-190 c","K2-190",,2
"K2-195 c","K2-195",,2
"K2-196 b","K2-196",,1
"Kepler-42 b","Kepler-42",,3
"K2-201 b","K2-201",,2
"K2-201 c","K2-201",,2
"K2-202 b","K2-202",,1
"K2-381 b","K2-381",,3
"K2-381 d","K2-381",,3
"K2-382 b","K2-382",,1
"K2-383 b","K2-383",,1
"K2-203 b","K2-203",,1
"K2-204 b","K2-204",,1
"K2-205 b","K2-205",,1
"K2-206 b","K2-206",,1
"K2-207 b","K2-207",,1
"K2-208 b","K2-208",,1
"K2-209 b","K2-209",,1
"K2-210 b","K2-210",,1
"K2-211 b","K2-211",,1
"K2-213 b","K2-213",,1
"K2-215 b","K2-215",,1
"K2-217 b","K2-217",,1
"K2-218 b","K2-218",,1
"K2-219 b","K2-219",,3
"K2-219 c","K2-219",,3
"K2-219 d","K2-219",,3
"K2-221 b","K2-221",,1
"K2-223 b","K2-223",,2
"K2-223 c","K2-223",,2
"K2-224 b","K2-224",,2
"K2-224 c","K2-224",,2
"K2-225 b","K2-225",,1
"K2-226 b","K2-226",,1
"K2-227 b","K2-227",,1
"K2-228 b","K2-228",,1
"K2-229 b","K2-229",,2
"K2-229 c","K2-229",,2
"K2-230 b","K2-230",,1
"EPIC 229004835 b","EPIC 229004835",,1
"K2-259 b","K2-259",,1
"K2-80 d","K2-80",,3
"EPIC 228836835 b","EPIC 228836835",,1
"K2-331 c","K2-331",,2
"K2-333 b","K2-333",,1
"K2-334 b","K2-334",,1
"K2-342 b","K2-342",,1
"K2-343 c","K2-343",,2
"K2-344 b","K2-344",,1
"K2-348 b","K2-348",,2
"K2-348 c","K2-348",,2
"K2-352 c","K2-352",,3
"K2-352 d","K2-352",,3
"G 9-40 b","G 9-40",,1
"HD 80653 b","HD 80653",,2
"Kepler-21 b","Kepler-21","HIP 94112",1
"Kepler-8 b","Kepler-8",,1
"KOI-984 b","KOI-984",,2
